Phone Model,Price
Apple iPhone 14 Pro 128GB (Dual eSim) - PTA Approved - Pre Owned,"Rs. 394,999"
Apple iPhone 14 Pro 256GB (Dual eSim) - PTA Approved - Pre Owned,"Rs. 414,999"
Apple iPhone 14 Pro Max 256GB (Single + eSim) - PTA Approved - Pre Owned,"Rs. 479,999"
Apple iPhone 14 Pro Max 128GB (Dual eSim) - PTA Approved - Pre Owned,"Rs. 429,999"
Apple iPhone 14 Pro Max 256GB (Dual eSim) - PTA Approved - Pre Owned,"Rs. 459,999"
Apple iPhone 14 Pro 128GB (Single + eSim) - PTA Approved - Pre Owned,"Rs. 409,999"
Apple iPhone 14 Pro 256GB (Single + eSim) - PTA Approved - Pre Owned,"Rs. 449,999"
Apple iPhone 14 Pro Max 128GB (Single + eSim) - PTA Approved - Pre Owned,"Rs. 449,999"
Apple iPhone 14 Pro Max 512GB (Dual Esim) PTA Approved..(LLA),"Rs. 522,749"
Apple iPhone 14 Pro Max 256GB (Dual eSIM) PTA Approved (LLA),"Rs. 499,999"
Apple iPhone 14 Pro 512GB (Dual eSIM) PTA Approved (LLA),"Rs. 492,299"
Apple iPhone 14 Pro 128GB (Dual eSIM) - PTA Approved (LLA),"Rs. 474,999"
Apple iPhone 14 Pro 256GB (Dual Esim) PTA Approved (LLA),"Rs. 456,749"
Apple iPhone 14 Pro 512GB (Dual eSIM) PTA Approved,"Rs. 481,999"
Apple iPhone 14 Pro Max 256GB (Dual eSIM) PTA Approved,"Rs. 507,499"
Apple iPhone 14 Pro Max 512GB (Dual Esim) PTA Approved (LLA),"Rs. 532,599"
Apple iPhone 14 Pro 128GB (Dual + SIM) - PTA Approved,"Rs. 455,749"
Pitaka IPhone 14 Pro Max MagEZ Case 3 Carbon Fiber Magnetic Case,"Rs. 25,499"
Pitaka IPhone 14 Pro MagEZ Case 3 Carbon Fiber Magnetic Case,"Rs. 20,499"
Apple IPhone 14 Pro Leather Case with Magsafe,"Rs. 19,499"
Apple IPhone 14 Pro Max Silicone Case with Magsafe,"Rs. 20,499"
Apple IPhone 14 Pro Max Leather Case with Magsafe,"Rs. 20,999"
Apple IPhone 14 Pro Silicone Case with Magsafe,"Rs. 19,499"
Apple iPhone 14 Pro Max 1TB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 960,000"
Apple iPhone 14 Pro 1TB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 925,000"
Apple iPhone 14 Pro Max 1TB (Physical + eSIM) - PTA Approved,"Rs. 709,999"
Apple iPhone 14 Pro Max 256GB (Single + eSIM) - PTA Approved,"Rs. 517,649"
Apple iPhone 14 Pro Max 512GB (Physical + e-SIM) - PTA Approved,"Rs. 634,999"
Apple iPhone 14Pro Max 512GB (Physical + eSIM) - PTA Approved,"Rs. 565,299"
Apple iPhone 14 Pro Max 512GB (Single + eSIM) - PTA Approved,"Rs. 537,949"
Apple iPhone 14 Pro Max 512GB (Single + eSIM) - PTA Approved..,"Rs. 532,899"
Apple iPhone 14 Pro 256GB (Single + eSIM) - PTA Approved,"Rs. 471,999"
Apple iPhone 14 Pro 512GB (Single + eSIM) - PTA Approved,"Rs. 492,299"
Apple iPhone 14 Pro 1TB (Physical + eSIM) - PTA Approved,"Rs. 674,999"
Apple iPhone 14 Pro Max 128GB (Single + eSIM) - PTA Approved,"Rs. 477,099"
Apple iPhone 14 Pro 128GB (Single + eSIM) - PTA Approved,"Rs. 461,999"
Apple iPhone 14 Pro Max 256GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 835,000"
Apple iPhone 14 Pro Max 512GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 915,000"
Apple iPhone 14 Pro Max 128GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 795,000"
Apple iPhone 14 Pro 128GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 765,000"
Apple iPhone 14 Pro 256GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 800,000"
Apple iPhone 14 Pro 512GB 24kt Gold Plated - PTA Approved (With Certificate Of Authenticity),"Rs. 890,000"
Apple iPhone 14 Pro Max 512GB (Physical + eSIM) With Official Warranty,"Rs. 699,999"
Apple iPhone 14 Pro Max 1TB (Physical + eSIM) With Official Warranty,"Rs. 724,999"
Apple iPhone 14 Pro Max 256GB (Physical + eSIM) With Official Warranty,"Rs. 557,999"
Apple iPhone 14 Pro Max 128GB (Physical + eSIM) With Official Warranty,"Rs. 519,999"
Apple iPhone 14 Pro 1TB (Physical + eSIM) With Official Warranty,"Rs. 692,999"
Apple iPhone 14 Pro 256GB (Physical + eSIM) With Official Warranty,"Rs. 554,999"
